Date,Location,Rainfall
2008-12-01,Albury,0.6
2008-12-02,Albury,0.0
2008-12-03,Albury,0.0
2008-12-04,Albury,0.0
2008-12-05,Albury,1.0
2008-12-06,Albury,0.2
2008-12-07,Albury,0.0
2008-12-08,Albury,0.0
2008-12-09,Albury,0.0
2008-12-10,Albury,1.4
2008-12-11,Albury,0.0
2008-12-12,Albury,2.2
2008-12-13,Albury,15.6
2008-12-14,Albury,3.6
2008-12-15,Albury,0.0
2008-12-16,Albury,
2008-12-17,Albury,0.0
2008-12-18,Albury,16.8
2008-12-19,Albury,10.6
2008-12-20,Albury,0.0
2008-12-21,Albury,0.0
2008-12-22,Albury,0.0
2008-12-23,Albury,0.0
2008-12-24,Albury,0.0
2008-12-25,Albury,0.0
2008-12-26,Albury,0.0
2008-12-27,Albury,0.0
2008-12-28,Albury,0.0
2008-12-29,Albury,0.0
2008-12-30,Albury,1.2
2008-12-31,Albury,0.8
2009-01-01,Albury,0.0
2009-01-02,Albury,0.0
2009-01-03,Albury,0.0
2009-01-04,Albury,0.0
2009-01-05,Albury,0.0
2009-01-06,Albury,0.0
2009-01-07,Albury,0.0
2009-01-08,Albury,0.0
2009-01-09,Albury,0.0
2009-01-10,Albury,0.0
2009-01-11,Albury,0.0
2009-01-12,Albury,0.0
2009-01-13,Albury,0.0
2009-01-14,Albury,0.0
2009-01-15,Albury,0.0
2009-01-16,Albury,0.0
2009-01-17,Albury,0.0
2009-01-18,Albury,0.0
2009-01-19,Albury,0.0
2009-01-20,Albury,0.0
2009-01-21,Albury,0.8
2009-01-22,Albury,0.6
2009-01-23,Albury,6.4
2009-01-24,Albury,0.0
2009-01-25,Albury,0.0
2009-01-26,Albury,0.0
2009-01-27,Albury,0.0
2009-01-28,Albury,0.0
2009-01-29,Albury,0.0
2009-01-30,Albury,0.0
2009-01-31,Albury,0.0
2009-02-01,Albury,0.0
2009-02-02,Albury,0.2
2009-02-03,Albury,0.0
2009-02-04,Albury,0.0
2009-02-05,Albury,0.0
2009-02-06,Albury,0.0
2009-02-07,Albury,0.0
2009-02-08,Albury,0.0
2009-02-09,Albury,0.4
2009-02-10,Albury,0.0
2009-02-11,Albury,0.0
2009-02-12,Albury,0.0
2009-02-13,Albury,3.0
2009-02-14,Albury,0.0
2009-02-15,Albury,0.0
2009-02-16,Albury,0.0
2009-02-17,Albury,0.0
2009-02-18,Albury,0.0
2009-02-19,Albury,0.0
2009-02-20,Albury,0.0
2009-02-21,Albury,0.0
2009-02-22,Albury,0.0
2009-02-23,Albury,0.0
2009-02-24,Albury,0.0
2009-02-25,Albury,0.0
2009-02-26,Albury,0.0
2009-02-27,Albury,0.0
2009-02-28,Albury,0.0
2009-03-01,Albury,0.0
2009-03-02,Albury,0.0
2009-03-03,Albury,0.0
2009-03-04,Albury,0.2
2009-03-05,Albury,0.0
2009-03-06,Albury,0.0
2009-03-07,Albury,0.0
2009-03-08,Albury,0.0
2009-03-09,Albury,0.0
2009-03-10,Albury,0.0
2009-03-11,Albury,1.2
2009-03-12,Albury,0.0
2009-03-13,Albury,5.8
2009-03-14,Albury,3.0
2009-03-15,Albury,11.6
2009-03-16,Albury,0.0
2009-03-17,Albury,0.0
2009-03-18,Albury,0.0
2009-03-19,Albury,0.0
2009-03-20,Albury,0.0
2009-03-21,Albury,0.0
2009-03-22,Albury,0.0
2009-03-23,Albury,0.0
2009-03-24,Albury,0.0
2009-03-25,Albury,0.4
2009-03-26,Albury,1.8
2009-03-27,Albury,0.0
2009-03-28,Albury,0.0
2009-03-29,Albury,0.0
2009-03-30,Albury,0.0
2009-03-31,Albury,0.0
2009-04-01,Albury,0.0
2009-04-02,Albury,0.0
2009-04-03,Albury,8.6
2009-04-04,Albury,12.6
2009-04-05,Albury,0.0
2009-04-06,Albury,0.0
2009-04-07,Albury,0.0
2009-04-08,Albury,0.0
2009-04-09,Albury,0.0
2009-04-10,Albury,0.0
2009-04-11,Albury,8.4
2009-04-12,Albury,6.2
2009-04-13,Albury,0.0
2009-04-14,Albury,0.0
2009-04-15,Albury,0.0
2009-04-16,Albury,0.0
2009-04-17,Albury,0.0
2009-04-18,Albury,0.0
2009-04-19,Albury,0.0
2009-04-20,Albury,0.0
2009-04-21,Albury,0.0
2009-04-22,Albury,0.0
2009-04-23,Albury,0.0
2009-04-24,Albury,0.0
2009-04-25,Albury,20.0
2009-04-26,Albury,21.0
2009-04-27,Albury,3.2
2009-04-28,Albury,4.8
2009-04-29,Albury,0.0
2009-04-30,Albury,0.0
2009-05-01,Albury,0.0
2009-05-02,Albury,0.0
2009-05-03,Albury,0.0
2009-05-04,Albury,0.0
2009-05-05,Albury,0.0
2009-05-06,Albury,0.0
2009-05-07,Albury,0.0
2009-05-08,Albury,0.0
2009-05-09,Albury,0.0
2009-05-10,Albury,0.0
2009-05-11,Albury,0.0
2009-05-12,Albury,0.0
2009-05-13,Albury,0.0
2009-05-14,Albury,0.0
2009-05-15,Albury,0.0
2009-05-16,Albury,1.8
2009-05-17,Albury,0.0
2009-05-18,Albury,0.0
2009-05-19,Albury,0.0
2009-05-20,Albury,0.0
2009-05-21,Albury,0.0
2009-05-22,Albury,0.0
2009-05-23,Albury,0.0
2009-05-24,Albury,0.0
2009-05-25,Albury,0.0
2009-05-26,Albury,4.2
2009-05-27,Albury,0.8
2009-05-28,Albury,0.0
2009-05-29,Albury,0.0
2009-05-30,Albury,0.0
2009-05-31,Albury,0.0
2009-06-01,Albury,1.2
2009-06-02,Albury,1.4
2009-06-03,Albury,4.8
2009-06-04,Albury,8.0
