,city_name,latitude,longitude
0,Adelaide,-34.9289,138.6011
1,Albany,-35.0228,117.8814
2,Albury,-36.0806,146.9158
3,AliceSprings,-23.7,133.8667
4,Ballarat,-37.55,143.85
5,Bendigo,-36.75,144.2667
6,Brisbane,-27.4678,153.0281
7,Cairns,-16.9303,145.7703
8,Canberra,-35.2931,149.1269
9,Cobar,-31.4997,145.8319
10,CoffsHarbour,-30.3022,153.1189
11,Darwin,-12.4381,130.8411
12,GoldCoast,-28.0167,153.4
13,Hobart,-42.8806,147.325
14,Launceston,-41.4419,147.145
15,Melbourne,-37.8136,144.9631
16,Mildura,-34.1889,142.1583
17,Moree,-29.465,149.8344
18,MountGambier,-37.8294,140.7828
19,Newcastle,-32.9167,151.75
20,Nuriootpa,-34.4667,138.9833
21,Penrith,-33.7511,150.6942
22,Perth,-31.9522,115.8589
23,Portland,-38.3333,141.6
24,Richmond,-33.5983,150.7511
25,Sale,-38.1,147.0667
26,Sydney,-33.865,151.2094
27,Townsville,-19.2564,146.8183
28,WaggaWagga,-35.1189,147.3689
29,Wollongong,-34.4331,150.8831
